follower_id,followed_id
1,593
1,354
1,794
1,724
1,409
1,755
1,143
1,877
1,886
1,677
1,123
1,767
1,237
1,459
1,803
1,718
1,974
1,167
1,104
1,221
1,522
1,412
1,806
2,348
2,822
2,565
2,630
2,715
2,702
2,725
2,55
2,166
2,400
2,989
2,653
2,7
2,825
2,95
2,845
2,150
2,484
2,950
3,616
3,447
3,92
3,67
3,271
3,229
3,381
3,83
3,625
3,40
3,743
3,395
3,955
3,412
3,630
3,673
3,535
3,295
3,730
3,988
3,613
3,60
3,970
3,794
4,841
4,181
4,657
4,508
4,451
4,12
4,208
4,872
4,674
4,955
4,825
4,532
4,294
4,201
4,36
4,804
4,615
4,524
4,530
4,717
4,239
4,631
4,175
4,692
4,38
4,370
4,246
4,672
4,1
4,163
5,90
5,284
5,800
5,411
5,363
5,687
5,406
5,417
5,602
5,207
5,532
5,17
5,756
5,722
5,72
5,943
5,94
5,564
6,293
6,745
6,851
6,574
6,938
6,598
6,358
6,357
6,988
6,837
6,285
6,233
6,622
6,201
6,467
6,954
6,415
6,590
7,5
7,269
7,181
7,418
7,520
7,111
7,574
7,76
7,517
7,303
7,350
7,971
7,121
7,824
7,527
7,981
7,265
7,899
7,552
7,834
7,814
7,590
7,258
7,712
7,455
7,991
7,388
7,578
7,497
7,790
8,251
8,777
8,349
8,986
8,796
8,471
8,699
8,473
8,920
8,602
8,884
8,30
8,495
8,121
8,266
8,71
8,393
8,650
8,809
8,227
8,695
8,720
8,237
8,821
8,325
9,424
9,980
9,363
9,530
9,550
9,11
9,719
9,854
9,271
9,256
9,296
9,97
9,410
9,691
9,768
9,842
10,352
10,79
10,569
10,955
10,184
10,489
10,323
10,364
10,225
10,917
10,589
10,277
10,189
10,971
10,766
10,701
10,954
10,933
10,196
10,512
10,756
10,206
10,242
11,755
11,249
11,895
11,273
11,213
11,236
11,209
11,856
11,257
11,858
11,635
11,366
11,161
11,799
11,111
11,124
12,944
12,82
12,694
12,980
12,681
12,506
12,630
12,7
12,784
12,879
12,556
12,982
12,45
12,870
12,495
12,382
13,637
13,324
13,506
13,921
13,904
13,920
13,590
13,891
13,283
13,504
13,189
13,784
13,939
13,525
13,288
